name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,65.58097455953467,0.28
2_DecisionTree,Decision Tree,rmse,52.84809366667022,11.49
3_Linear,Linear,rmse,40.27661010374779,10.6
4_Default_Xgboost,Xgboost,rmse,43.24871269977866,18.14
5_Default_NeuralNetwork,Neural Network,rmse,51.737600914918914,2.64
6_Default_RandomForest,Random Forest,rmse,46.46401433927811,14.69
4_Default_Xgboost_categorical_mix,Xgboost,rmse,43.0562958572554,17.62
Ensemble,Ensemble,rmse,38.39258868160813,0.14
