dgf_resource_id,is_validated,title,description,topic,task,nb_lines,nb_features,target_variable,metric_type,metric_value,best_model,dgf_dataset_id,dgf_dataset_url,dgf_resource_url,automl_url,profile_url,dict_url,etalab_xp_url,external_xp_url,is_analyzed,score,public_interest,target_var_makes_sense,automl_makes_sense,openml_id
6bc6bbce-474e-4c63-85db-cc344e3ad036,False,Offre touristique : Hôtelleries de plein air (camping) en Pays de la Loire,,Undefined,Regression,656,55,Nombre emplacements nus pour les campings,rmse,34.6155288318078,Ensemble,5b4cdb69b595081059d496d7,http://www.data.gouv.fr/fr/datasets/offre-touristique-hotelleries-de-plein-air-camping-en-pays-de-la-loire/,https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_070-005_offre-touristique-hotelleries-de-plein-air-rpdl/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/6bc6bbce-474e-4c63-85db-cc344e3ad036/automl_nombre-emplacements-nus-pour-les-campings/README.html,https://etalab-ia.github.io/open_ML/profilings/6bc6bbce-474e-4c63-85db-cc344e3ad036_pandas_profile.html,,,,False,0.091359663825971,1,1,,
9f71bd78-6efa-4fbd-be27-f6e7934377a7,False,Bénéficiaires achat vélos pliants,,Undefined,Regression,281,7,Montant voté,rmse,43.0101609018729,Ensemble,5b4cda9eb595080ec8d496e4,http://www.data.gouv.fr/fr/datasets/beneficiaires-achat-velos-pliants/,https://Data.paysdelaloire.fr/explore/dataset/234400034_033-002_achatvelospliants/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/9f71bd78-6efa-4fbd-be27-f6e7934377a7/automl_montant-vote/README.html,https://etalab-ia.github.io/open_ML/profilings/9f71bd78-6efa-4fbd-be27-f6e7934377a7_pandas_profile.html,,,,False,0.075495027994608,1,1,,
7daf499b-f1b5-48e6-9859-8d7c741ff2be,False,Accessibilité des arrêts de bus RATP,,Undefined,Regression,25608,18,Ligne,rmse,47.9061178172676,3_Default_Xgboost,5959371ca3a7291dd09c8279,http://www.data.gouv.fr/fr/datasets/accessibilite-des-arrets-de-bus-ratp-1/,http://data.ratp.fr/explore/dataset/accessibilite-des-arrets-de-bus-ratp/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/7daf499b-f1b5-48e6-9859-8d7c741ff2be/automl_ligne/README.html,https://etalab-ia.github.io/open_ML/profilings/7daf499b-f1b5-48e6-9859-8d7c741ff2be_pandas_profile.html,,,,False,0.06820118437665,1,1,,
5d6ad9de-c512-4154-8e0d-f970cf1242bb,False,Budget Primitif - 2017 - Ville Angers,,Undefined,Regression,1976,13,Numéro sous fonction,rmse,83.2958554634886,4_Default_Xgboost,5e32238906e3e708b6320bba,http://www.data.gouv.fr/fr/datasets/budget-primitif-2017-ville-angers-1/,https://paysdelaloire.opendatasoft.com/explore/dataset/bp-2017-angers/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/5d6ad9de-c512-4154-8e0d-f970cf1242bb/automl_numero-sous-fonction/README.html,https://etalab-ia.github.io/open_ML/profilings/5d6ad9de-c512-4154-8e0d-f970cf1242bb_pandas_profile.html,,,,False,0.039579382436639,1,1,,
34a6baac-673f-4902-b690-8279b10107c3,False,Offre touristique : Aires de camping-car en Pays de la Loire,,Undefined,Regression,495,40,Nombre emplacements pour les campings car,rmse,106.798295054137,Ensemble,5b4cd6b8b595080a07d496e7,http://www.data.gouv.fr/fr/datasets/offre-touristique-aires-de-camping-car-en-pays-de-la-loire/,https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_070-001_offre-touristique-aires-de-camping-car-rpdl/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/34a6baac-673f-4902-b690-8279b10107c3/automl_nombre-emplacements-pour-les-campings-car/README.html,https://etalab-ia.github.io/open_ML/profilings/34a6baac-673f-4902-b690-8279b10107c3_pandas_profile.html,,,,False,0.030530166865654,1,1,,
b931c34e-92f8-4824-9219-435cff55db5c,False,Offre touristique : Aires de camping-car en Pays de la Loire,,Undefined,Regression,495,40,Nombre emplacements pour les campings car,rmse,107.366469336796,Ensemble,5b4cd6b8b595080a07d496e7,http://www.data.gouv.fr/fr/datasets/offre-touristique-aires-de-camping-car-en-pays-de-la-loire/,https://Data.paysdelaloire.fr/explore/dataset/234400034_070-001_offre-touristique-aires-de-camping-car-rpdl/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/b931c34e-92f8-4824-9219-435cff55db5c/automl_nombre-emplacements-pour-les-campings-car/README.html,https://etalab-ia.github.io/open_ML/profilings/b931c34e-92f8-4824-9219-435cff55db5c_pandas_profile.html,,,,False,0.030381339770432,1,1,,
94dc6a92-34a9-401b-abbc-a1ff26e3d3ab,False,Trafic routier sur le réseau départemental Costarmoricain,,Undefined,Regression,7045,21,TRAFIC_J00,rmse,120.678903112749,Ensemble,57f4d3d688ee383d105ff490,http://www.data.gouv.fr/fr/datasets/trafic-routier-sur-le-reseau-departemental-costarmoricain/,http://opendata01.mgcloud.fr/data-unpaginated/dataserver/cg22/data/i3luyl75?$inlinecount=allpages&$format=csv,https://etalab-ia.github.io/open_ML/automodels/94dc6a92-34a9-401b-abbc-a1ff26e3d3ab/automl_trafic_j00/README.html,https://etalab-ia.github.io/open_ML/profilings/94dc6a92-34a9-401b-abbc-a1ff26e3d3ab_pandas_profile.html,,,,False,0.027386431124935,1,1,,
ba976287-96ae-49e9-876b-34fc17bf79c2,False,Base Sirene Pays de la Loire v3 ß,,Undefined,Regression,105009,108,Population de la commune de l'établissement,rmse,239.848959909076,3_Default_Xgboost,5e3221ee9ce2e7433df7fb95,http://www.data.gouv.fr/fr/datasets/base-sirene-pays-de-la-loire-v3-ss/,https://paysdelaloire.opendatasoft.com/explore/dataset/120027016_base-sirene-v3-ss/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/ba976287-96ae-49e9-876b-34fc17bf79c2/automl_population-de-la-commune-de-letablissement/README.html,https://etalab-ia.github.io/open_ML/profilings/ba976287-96ae-49e9-876b-34fc17bf79c2_pandas_profile.html,,,,False,0.013781989319325,1,1,,
041c16dd-ca86-471e-92b7-34a8b6386007,False,Points Adresse 📭 Angers Loire Métropole,,Undefined,Regression,89653,22,X_CC47,rmse,624.505316962593,3_Default_Xgboost,5e322384dee7e71547f5c8ff,http://www.data.gouv.fr/fr/datasets/points-adresse-angers-loire-metropole-1/,https://paysdelaloire.opendatasoft.com/explore/dataset/points-adresse-angers/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/041c16dd-ca86-471e-92b7-34a8b6386007/automl_x_cc47/README.html,https://etalab-ia.github.io/open_ML/profilings/041c16dd-ca86-471e-92b7-34a8b6386007_pandas_profile.html,,,,False,0.005325085656132,1,1,,
529e5ccf-48d4-4139-8aed-2ba114d00967,False,Evolution du nombre de voyageurs par liaison par mois réseau lignes Autocars Régionaux en Pays de la Loire,,Undefined,Regression,1168,5,Nombre de voyages sur la ligne autocar régionale,rmse,967.522961972954,4_Default_Xgboost,5b4cd374a3a7296e52e1c341,http://www.data.gouv.fr/fr/datasets/evolution-du-nombre-de-voyageurs-par-liaison-par-mois-reseau-lignes-autocars-regionaux-en-pays-de-la-loire/,https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_031-006_evol-nb-voyageurs-par-mois-ligne-autocar-regionaux-pdl/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/529e5ccf-48d4-4139-8aed-2ba114d00967/automl_nombre-de-voyages-sur-la-ligne-autocar-regionale/README.html,https://etalab-ia.github.io/open_ML/profilings/529e5ccf-48d4-4139-8aed-2ba114d00967_pandas_profile.html,,,,False,0.003442377661418,1,1,,
0077b808-bb1b-4419-bb30-3bfed3a2146d,False,Pacte pour la ruralité (FRDC - Ecole),,Undefined,Regression,950,18,Population,rmse,1666.39405322185,Ensemble,5e3221f306e3e70513320bba,http://www.data.gouv.fr/fr/datasets/pacte-pour-la-ruralite-frdc-ecole/,https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_pacte-pour-la-ruralite/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/0077b808-bb1b-4419-bb30-3bfed3a2146d/automl_population/README.html,https://etalab-ia.github.io/open_ML/profilings/0077b808-bb1b-4419-bb30-3bfed3a2146d_pandas_profile.html,,,,False,0.001997838363886,1,1,,
64e58e3c-fca2-4721-aa38-7775fe83b6a8,False,Fonds social Lycéens régional des Pays de la Loire 2010 - 2016,,Undefined,Regression,1966,10,Montant Fond Social Lycéens,rmse,2083.81222718903,Ensemble,5b4cd654a3a7297210e1c359,http://www.data.gouv.fr/fr/datasets/fonds-social-lyceens-regional-des-pays-de-la-loire-2010-2016/,https://Data.paysdelaloire.fr/explore/dataset/234400034_012-007_dotation-du-fonds-social-lyceens-regional-rpdl/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/64e58e3c-fca2-4721-aa38-7775fe83b6a8/automl_montant-fond-social-lyceens/README.html,https://etalab-ia.github.io/open_ML/profilings/64e58e3c-fca2-4721-aa38-7775fe83b6a8_pandas_profile.html,,,,False,0.00159855575435,1,1,,
d0d9c417-4c92-4da5-a411-ba766ffb5095,False,Accessibilité des gares et stations de Métro et RER RATP,,Undefined,Regression,2337,15,Y,rmse,4525.98983858674,Ensemble,5959371da3a7291dcf9c82b8,http://www.data.gouv.fr/fr/datasets/accessibilite-des-gares-et-stations-de-metro-et-rer-ratp-1/,http://data.ratp.fr/explore/dataset/accessibilite-des-gares-et-stations-metro-et-rer-ratp/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/d0d9c417-4c92-4da5-a411-ba766ffb5095/automl_y/README.html,https://etalab-ia.github.io/open_ML/profilings/d0d9c417-4c92-4da5-a411-ba766ffb5095_pandas_profile.html,,,,False,0.000736108734773,1,1,,
e788a1f5-d985-4daf-b98b-8fd4101411e9,False,Evolution de la population des Pays de la Loire de 1876 à 2017,,Undefined,Regression,1238,36,Population 2013,rmse,8791.28712459667,4_Default_Xgboost,5e3221e8dee7e71333f5c8f2,http://www.data.gouv.fr/fr/datasets/evolution-de-la-population-des-pays-de-la-loire-de-1876-a-2017/,https://paysdelaloire.opendatasoft.com/explore/dataset/12002701600563_evolution-de-la-population-des-pays-de-la-loire-de-1876-a-2017/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,https://etalab-ia.github.io/open_ML/automodels/e788a1f5-d985-4daf-b98b-8fd4101411e9/automl_population-2013/README.html,https://etalab-ia.github.io/open_ML/profilings/e788a1f5-d985-4daf-b98b-8fd4101411e9_pandas_profile.html,,,,False,0.000379152106785,1,1,,
