feature,shap_importance
Type_logement,0.21551269693960312
Capacite_accueil,0.19629170994807893
NbChambres,0.1452361837683219
Caution,0.12132705344898989
reglement_interieur_ni,0.09676889545569713
reglement_interieur_soirée,0.062081189888239005
reglement_interieur_convient,0.05640667290465034
television,0.055561906830285425
Description_voyageurs,0.054391410687809366
surcout_voyageur_supp,0.05275033841322954
rection_semaine,0.05143269934466902
type_propriete,0.05026727897894015
duree_minimale_sejour,0.0501283776125284
reglement_interieur_aux,0.04827432160999839
reglement_interieur_fête,0.04784139837128387
Identifiant,0.047833980575388534
reglement_interieur_ne,0.04201707885949085
Description_des,0.03915982798031739
reglement_interieur_ans,0.037538755503609376
machine_laver,0.03744295159419742
reglement_interieur_enfants,0.03713747210106779
Cuisine,0.03655880158328942
Description_autres,0.03643757356336734
reglement_interieur_fumeur,0.03470255522552022
animaux_acceptes,0.034628267121533066
Description_bus,0.03399022069078495
seche_linge,0.033765033504228895
Description_avec,0.033494758082688605
reglement_interieur_non,0.03312969510051833
Description_les,0.03260342305927345
reduction_mois,0.03253196320774348
reglement_interieur_après,0.03186994578012678
reglement_interieur_14,0.031751502995110724
reglement_interieur_se,0.03147124792891399
reglement_interieur_lieux,0.031389949965374295
Description_minutes,0.031315534055208115
logement_fumeur,0.030779693352778352
Description_une,0.028708697012019755
Titre_maison,0.028699046468321648
Latitude,0.02857759280258204
Description_je,0.026647448742168418
Titre_studio,0.025962727200799344
reglement_interieur_le,0.0259151792011121
Description_appartement,0.025701723681903196
Longitude,0.025647115353989666
reglement_interieur_les,0.025590820412107727
petit_dejeuner,0.02530587325437475
Climatisation,0.025175818382397956
Description_remarques,0.024915574752288557
Description_équipée,0.024361370614486434
reglement_interieur_bébés,0.024185647196558267
Description_grand,0.022887590129352493
Cintres,0.022613085708514013
espace_travail_ordi,0.022414141500192303
reglement_interieur_animaux,0.02229147208476501
frais_menage,0.021673703777652112
detecteur_fumee,0.021126902766955676
Description_tramway,0.021101772066146572
Description_logement,0.02092110576191592
cheminee_interieur,0.02035984567814469
Description_ligne,0.020274063665160574
Description_parking,0.019990594143667204
Description_mon,0.019909667059194343
Description_et,0.01987049332921929
Description_centre,0.01873642957217822
Description_ou,0.01869476952041003
Description_linge,0.018527959410516225
Description_le,0.018419364090511807
Description_proximité,0.01840569729648427
Description_quais,0.018181906124468728
Titre_au,0.018139351062527308
Titre_bordeaux,0.018054300719412098
reglement_interieur_sont,0.017476939858492642
Description_tram,0.017385693545437713
conditions_annulation,0.01683287892271429
reglement_interieur_15,0.016791753415369797
Titre_chambre,0.016632941821715836
Titre_du,0.016412079139630477
Internet,0.01637233439235021
Description_lit,0.016209414359958964
Piscine,0.016134621900971324
Description_est,0.0160885464205999
Description_tous,0.015455034823026093
Description_restaurants,0.015094652995186024
Description_plein,0.014809257389247692
Description_station,0.014799570383495225
Titre_cosy,0.014758572413055187
Description_que,0.014620511879847616
Description_bordeaux,0.014314583089955644
Description_commerces,0.014241204712448682
Description_jardin,0.014090168022545778
Titre_proche,0.014028637027872786
Description_min,0.013933586783591728
Titre_en,0.013862516777499955
seche_cheveux,0.013683979439457565
reglement_interieur_entrée,0.013472553733149909
Titre_jardin,0.013279773243921083
Description_pour,0.013182990390582175
reglement_interieur_ménage,0.013108549620329518
Description_cuisine,0.0130940943514797
Interphone,0.012969245328926099
Description_en,0.012883170845265952
Chauffage,0.012842575573546013
reglement_interieur_retard,0.012809373949079805
reglement_interieur_nous,0.012595441771212258
Description_qui,0.012578819574907968
NombreSdB,0.012404307730642874
Description_votre,0.012133665825296016
Titre_dans,0.012059908715289804
Description_nous,0.012036129165011672
Description_accès,0.011842365759665515
Titre_appartement,0.011562568338092735
Description_notre,0.011410200775448659
Description_ville,0.011347818117268798
Description_par,0.011332439608636759
reglement_interieur_et,0.011302301954197853
Description_disposition,0.011266618665510928
Description_pas,0.011227679670429105
Description_depuis,0.011173549820583464
monoxyde_carbone_detect,0.011041558990622051
reglement_interieur_la,0.01101408414377983
produits_base,0.011012520294019218
Description_gare,0.01068873696915772
Titre_t2,0.010477923200205781
Description_tout,0.010339325228112154
Description_st,0.010254980297812242
reglement_interieur_fait,0.010149266090617353
reglement_interieur_merci,0.010042597971949029
Titre_des,0.009989808102330208
type_lit,0.009877771637878183
Titre_centre,0.00986025935620442
Titre_hyper,0.00983863154801063
Titre_calme,0.009721609354505582
Description_10,0.009629735500737134
Description_étage,0.009609455020100303
Titre_petit,0.009534663603514695
reglement_interieur_pour,0.009511811967948473
Description_se,0.009447093908147835
Titre_coeur,0.009412765833221393
Titre_bel,0.00935122895180584
Description_chambre,0.00928132253286215
Titre_avec,0.009139857051881261
reglement_interieur_vous,0.009069502185237903
Titre_échoppe,0.008903268949204296
Description_situé,0.008898227982830215
parking_sur-place,0.008606883556824612
television_cable,0.008554801062319707
reglement_interieur_00,0.008502310374028488
Description_du,0.008458029346858825
Titre_joli,0.008436070865219227
Titre_echoppe,0.008335108904564084
reglement_interieur_appartement,0.008231268402845014
Description_séjour,0.008204577005163124
reglement_interieur_heure,0.008186544580576681
Description_saint,0.00816481725415153
Description_proche,0.008053129850597631
reglement_interieur_disposition,0.008037933277054357
reglement_interieur_immeuble,0.007995875544354275
Description_voiture,0.007722245199555411
Description_vous,0.007671978156156298
Titre_loft,0.0075826419086280385
Titre_st,0.007400484094405953
reglement_interieur_acceptés,0.007266016813279217
Description_maison,0.007251654480481491
Titre_victoire,0.007124834772227146
Titre_aux,0.007078867134844877
Description_salle,0.00699715248197891
Description_sur,0.006991910671315358
Description_faire,0.006728118058076727
reglement_interieur_plus,0.006712456382074589
reglement_interieur_il,0.006670102485504456
reglement_interieur_fumer,0.006638743965326012
Description_place,0.006581712537089211
Description_mais,0.006485934128502386
porte_chambre_verrou,0.006211027185236274
wifi,0.006125129684129559
Titre_terrasse,0.006107537932978775
reglement_interieur_que,0.006019542994487695
reglement_interieur_17,0.006009998837712585
reglement_interieur_sera,0.005966540353469194
accessibilite,0.0059355540339882966
kit_secours,0.005890547309203456
Ascenseur,0.005875748796796104
Description_très,0.005860351973009023
Description_pied,0.005796375765850374
Description_sont,0.0057954060765919154
Titre_chartrons,0.005737912981968184
Titre_charmant,0.00570584915448978
Description_rue,0.005601434942819265
Titre_chambres,0.005496840179708086
reglement_interieur_est,0.005429654760401951
Titre_confortable,0.00525690946655641
Titre_le,0.005255654786514216
reglement_interieur_par,0.005218697516159706
Description_deux,0.005189825133109471
adapte_evenements,0.005065642688463029
reglement_interieur_16,0.005021656191271354
Titre_plein,0.004984417815296697
Description_personnes,0.0049531237377037326
Titre_les,0.004908394938911308
Titre_une,0.00479215378411967
Titre_2016,0.004607277169635863
reglement_interieur_séjour,0.004605566399917248
reglement_interieur_qui,0.004430579221091904
Description_quartier,0.0043862250715716745
Titre_bordelaise,0.004362816423930485
Description_petit,0.00436107624310891
reglement_interieur_je,0.004319974034386148
Description_pierre,0.004132506048387729
reglement_interieur_demande,0.004096001055454068
Description_il,0.004048086522739981
reglement_interieur_personnes,0.00401432478784773
Entree_24-24,0.003961155252783313
reglement_interieur_nombre,0.0039228848332526585
Titre_lumineux,0.003860367601091717
reglement_interieur_état,0.003784502890283026
reglement_interieur_si,0.003777974874046326
