Name,Detected Type
geo_point_2d,Categorical
geo_shape,Categorical
nom_dept,Categorical
nom_com,Categorical
insee_com,Categorical
nom_station,Categorical
code_station,Categorical
typologie,Categorical
influence,Categorical
nom_poll,Categorical
id_poll_ue,Categorical
valeur,Numeric
unite,Categorical
metrique,Categorical
date_debut,Categorical
date_fin,Categorical
statut_valid,Categorical
code_epci,Categorical
