feature,shap_importance
NbChambres,0.30528318881988525
Capacite_accueil,0.16243217885494232
Type_logement_Logement entier,0.1278020590543747
Caution,0.09419801831245422
Latitude,0.08477161824703217
surcout_voyageur_supp,0.07170536369085312
NombreSdB,0.05752353370189667
frais_menage,0.04887812212109566
Longitude,0.046441465616226196
television,0.035249728709459305
logement_fumeur,0.02827783115208149
duree_minimale_sejour,0.02679373510181904
Titre_studio,0.025901678949594498
seche_linge,0.025751259177923203
type_propriete_Appartement,0.023164480924606323
rection_semaine,0.022927191108465195
Climatisation,0.015488448552787304
machine_laver,0.015444128774106503
reduction_mois,0.01543496921658516
Cuisine,0.014661677181720734
animaux_acceptes,0.01196631696075201
Titre_chambre,0.010542214848101139
detecteur_fumee,0.0095211798325181
Piscine,0.008550455793738365
Titre_proche,0.008155831135809422
television_cable,0.008088109083473682
Titre_du,0.0077225212007761
Titre_appartement,0.007246946915984154
Titre_terrasse,0.006684920284897089
seche_cheveux,0.005945206619799137
Titre_loft,0.005731768906116486
cheminee_interieur,0.004823966417461634
type_propriete_Bed & Breakfast,0.004771988373249769
conditions_annulation_Flexibles,0.0046512531116604805
Titre_cosy,0.0046260240487754345
type_lit_Vrai lit,0.004440838936716318
Chauffage,0.004205311648547649
Titre_au,0.003918780013918877
Type_logement_Chambre partagée,0.0037652684841305017
Titre_des,0.003704442409798503
Internet,0.0036328269634395838
espace_travail_ordi,0.0036059580743312836
petit_dejeuner,0.003557952819392085
Titre_bordeaux,0.0032107271254062653
Titre_chartrons,0.003188514616340399
Titre_cœur,0.0031697144731879234
Titre_maison,0.0031591029837727547
Titre_bel,0.0030474194791167974
NbLits,0.0027285285759717226
Titre_hyper,0.0026061066891998053
Titre_saint,0.002601286629214883
Titre_le,0.0025092512369155884
conditions_annulation_Modérées,0.002390259178355336
type_propriete_Maison,0.002292787190526724
fiche_securite,0.002265351824462414
parking_sur-place,0.0022433227859437466
Titre_parking,0.0021518529392778873
pourEnfants_famille,0.0020198302809149027
produits_base,0.00199054810218513
Cintres,0.001949645346030593
Titre_ville,0.0019248517928645015
Titre_beau,0.0018611389677971601
Titre_charme,0.0018462551524862647
Titre_aux,0.0018421949353069067
Titre_historique,0.0017920417012646794
Titre_avec,0.0017722219927236438
Ascenseur,0.001766591565683484
Titre_triangle,0.0017559293191879988
Titre_et,0.0017221390735358
Titre_dans,0.001657225308008492
wifi,0.0016569466097280383
Titre_centre,0.0016268055187538266
Titre_double,0.0016153345350176096
Titre_coeur,0.0015907061751931906
Titre_bordelaise,0.0015725332777947187
Titre_petit,0.0015460008289664984
Titre_st,0.0015322630060836673
Titre_en,0.0014949134783819318
Type_logement_Chambre privée,0.0014790340792387724
Titre_t1,0.0014661859022453427
conditions_annulation_Strictes,0.0014437902718782425
Titre_grande,0.0014283554628491402
Titre_t2,0.0014087450690567493
Titre_euro,0.001377274515107274
Titre_jardin,0.0013591364258900285
Titre_victoire,0.0013186928117647767
Titre_echoppe,0.0012981275795027614
Titre_gambetta,0.0012643252266570926
Titre_charmant,0.0011943671852350235
Interphone,0.0011829539434984326
Titre_sur,0.0011623555328696966
Titre_flat,0.0011423749383538961
Titre_vue,0.001129007781855762
accessibilite,0.0011186841875314713
Titre_2016,0.0010415028082206845
Titre_t3,0.0009538073791190982
Titre_lumineux,0.0009457613341510296
fer_repasser,0.0009217071929015219
adapte_evenements,0.0008999549318104982
Titre_confortable,0.0008584372117184103
Titre_michel,0.000837777100969106
Entree_24-24,0.0008148631313815713
kit_secours,0.0007798091974109411
monoxyde_carbone_detect,0.0007739218999631703
Jacuzzi,0.0007668195758014917
Titre_joli,0.000671742542181164
Titre_chambres,0.0006463846075348556
extincteur,0.0006410580826923251
Titre_grand,0.0006062979809939861
Titre_pièces,0.000601497245952487
Titre_appart,0.0005989363417029381
Titre_place,0.0005732852150686085
type_propriete_Maison de ville,0.0005346123361960053
type_lit_Canapé convertible,0.0005301971104927361
Titre_la,0.0005201272433623672
Titre_t4,0.0005150752258487046
Titre_tout,0.0004950061556883156
Titre_plein,0.00044307613279670477
Titre_privée,0.00043237043428234756
Titre_quartier,0.00042085754103027284
Titre_les,0.0004001633496955037
Titre_ancien,0.0003803111321758479
Titre_salle,0.0003750561154447496
Titre_très,0.00034164433600381017
Titre_hypercentre,0.0003367904864717275
type_propriete_Autre,0.0003064013144467026
Titre_m2,0.00029292565886862576
Titre_appt,0.00029063032707199454
Titre_calme,0.0002783927775453776
Titre_pour,0.00027806544676423073
Titre_échoppe,0.00024911624495871365
Titre_balcon,0.00018748785078059882
Titre_belle,0.00018026423640549183
Titre_duplex,0.0001792686671251431
Titre_pierre,0.00017792927974369377
Titre_confort,0.00017115143418777734
Titre_sdb,0.00016796508862171322
Titre_public,0.00016033298743423074
Portier,0.00014482272672466934
Titre_bdx,0.00013923845835961401
Titre_spacieux,0.00012750813039019704
Titre_gare,0.0001232823997270316
Titre_center,0.00011705714132403955
porte_chambre_verrou,8.941822306951508e-05
Titre_apt,8.23797017801553e-05
salle_sport,7.936913607409224e-05
Titre_une,5.870067252544686e-05
Titre_personnes,4.4558171794051304e-05
type_propriete_Appartement en résidence,4.345765773905441e-05
Titre_jean,3.900389128830284e-05
Titre_agréable,3.852864756481722e-05
Titre_bis,3.430588185437955e-05
Titre_jolie,3.141528577543795e-05
Titre_quais,2.8729418772854842e-05
Titre_neuf,0.0
Titre_rue,0.0
Titre_rénové,0.0
type_lit_Canapé,0.0
type_propriete_Villa,0.0
type_propriete_Maison écologique,0.0
type_propriete_Loft,0.0
Titre_superbe,0.0
type_propriete_Inconnue,0.0
type_propriete_Dortoir,0.0
type_propriete_Cabane,0.0
type_propriete_Bungalow,0.0
Titre_bordelais,0.0
Titre_tram,0.0
Titre_piscine,0.0
