name,url,model_type,metric_type,metric_value,train_time
1_Baseline,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/1_Baseline/README.html,Baseline,rmse,65.581,0.21
2_DecisionTree,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/2_DecisionTree/README.html,Decision Tree,rmse,52.1432,12.51
3_Linear,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/3_Linear/README.html,Linear,rmse,39.6384,6.33
4_Default_Xgboost,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/4_Default_Xgboost/README.html,Xgboost,rmse,42.7449,8.92
5_Default_NeuralNetwork,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/5_Default_NeuralNetwork/README.html,Neural Network,rmse,43.9206,2.71
6_Default_RandomForest,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/6_Default_RandomForest/README.html,Random Forest,rmse,45.7597,18.23
4_Default_Xgboost_categorical_mix,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/4_Default_Xgboost_categorical_mix/README.html,Xgboost,rmse,43.2199,8.65
Ensemble,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/Ensemble/README.html,Ensemble,rmse,38.974,0.14
