"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"11","91","91226","2018","0912261810026","1","2",,"SCI CATIVES","82935177400015","59",,"avenue salvador allende",,,"91390","Morsang sur orge",,"100","5",,"rue des hetres pourpres","ZA les hautes prasles",,"91580","ETRECHY",,"388ZC",,,2,4263,,,,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,"2018-08-22",
"11","91","91249","2017","0912491710031","9","2",,"LES DEUX SOURCES","83122514900010","13",,"rue d'Adelaiau",,,"91470","Forges-les-Bains",,"100","13",,"rue d'Adelaiau",,,"91470","Forges-les-Bains",,"720C","248E",,2,6410,,,,"4","2",0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9",2018-08-31,"2017-12-18",
"11","91","91315","2018","0913151810019","9","2","SAS FRANCE PIERRE 2","FRANCE PIERRE","35074965100013","12",,"rue des Pres de l'hopital-",,,"94194","VILLENEUVE SAINT GEORGES",,"100",,,"Route de la Ferte Alais",,,"91760","ITTEVILLE",,"957ZD","958ZD",,1,0,,,,"4",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,,
"11","91","91340","2017","0913401710009","9","2","SAS","ESIFER",,"32","rue","du Bois Chaland",,,"91090","LISSES",,"100","32","Rue","DU BOIS CHALAND",,,"91090","LISSES",,"0037AN",,,2,2640,,,,,"2",0,0,0,0,0,0,0,0,0,930,0,0,0,205,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",2018-08-31,"2017-08-29",
"11","91","91345","2018","0913451810009","2","2",,"MAIRIE DE LONGJUMEAU",,"6BIS","RUE","LEONTINE SOHIER",,,"91160","LONGJUMEAU",,"100","2","RUE","DES REMPLIERS",,,"91160","LONGJUMEAU",,"1402AK","88AM","89AM",2,34360,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,1,0,0,0,0,"8",2018-08-31,"2018-08-23",
"11","91","91345","2018","0913451810010","1","2",,"SCI CHLEA",,"41","RUE","D AUVERS",,,"91510","JANVILLE SUR JUINE",,"100","28","RUE","DE GRAVIGNY",,,"91160","LONGJUMEAU",,"431AH",,,2,966,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9",2018-08-31,"2018-07-17",
"11","91","91363","2018","0913631810029","9","2","L-ACOUSTICS","L-ACOUSTICS","33059680000038","13",,"Rue Levacher Cintrat","ZA Fontaine de Jouvence",,"91460","MARCOUSSIS",,"100","13",,"RUE LEVACHER CINTRAT",,,"91460","MARCOUSSIS",,"580A",,,2,9412,,,,,"2",0,0,0,0,0,0,0,0,0,1061,0,250,0,0,0,0,0,0,0,0,0,0,0,0,2931,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",2018-08-31,"2018-07-04",
"11","91","91363","2018","0913631810047","9","2",,"DATA 4",,"6",,"RUE CHRISTOPHE-COLOMB",,,"75008","PARIS",,"100",,,"AV DE NOZAY",,,,"MARCOUSSIS",,"66B",,,1,244055,,,,,,0,0,0,0,0,0,0,0,0,67854,352,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,6712,2346,0,0,0,55,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,,
"11","91","91377","2018","0913771840020","9","2",,"Les Macons Parisiens","95721348100014","1",,"rue du Buisson aux Fraises",,,"91300","Massy",,"100",,,"Parcelles K2 et L","ZAC de la Bonde",,"91300","Massy",,"335V","336V",,2,23259,,,,,"1",0,0,0,0,0,0,0,0,0,0,7196,0,0,0,0,0,0,0,0,0,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,1,0,0,"14",2018-08-31,"2018-08-25",
"11","91","91405","2018","0914051810021","9","2","sci","SCI TPSIENNE",,"35",,"rue de la Ferte Alais",,,"91840","SOISY-SUR-ECOLE",,"100","6",,"rue de la Montagne de Mais","ZAEV Le Chenet",,"91490","MILLY-LA-FORET",,"305N","306N","307N",1,0,,,,,,0,0,0,0,0,0,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,,
"11","91","91405","2018","0914051810024","9","2",,"SCI TILIA",,"1",,"RD 83",,,"91590","LA FERTE-ALAIS",,"100","4",,"rue de la Montagne de Mais",,,"91490","MILLY-LA-FORET",,"304N","305N","311N",1,0,,,,,,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,,
"11","91","91408","2016","0914081650005","2","2","Collectivite locale","Commune de Moigny sur Ecole",,"59",,"Grande rue",,,"91490","MOIGNY-SUR-ECOLE",,"100","55",,"Grande Rue",,,"91490","MOIGNY-SUR-ECOLE",,"795AC",,,2,82,,,,"2","2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,"2016-11-04",
"11","91","91421","2018","0914211810012","2","2",,"MAIRIE DE MONTGERON","21910421300018","112 b",,"Avenue de la Republique",,,"91230","MONTGERON",,"100",,,"chemin DES VALLEES",,,"91230","MONTGERON",,"9AN","12AN",,2,71403,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,1,"8",2018-08-31,"2018-08-09",
"11","91","91425","2018","0914251810021","9","2","KOD1","KOD1","50288416600021","23",,"avenue VICTOR HUGO",,,"75116","PARIS",,"100","58 -",,"ROUTE D'ORLEANS",,,"91310","MONTLHERY",,"368AK","367AK",,2,6557,,,,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-08-31,"2018-07-04",
"11","91","91461","2018","0914611810026","9","2","SCI","SCI DU POTEAU BLANC","81830955100013","65",,"rue Alfred Dubois",,,"91460","MARCOUSSIS",,"100","1",,"ROUTE DE COUARD",,,"91340","OLLAINVILLE",,,,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-08-31,,
"11","91","91477","2018","0914771840040","9","2",,"ECOLE POLYTECHNIQUE","19911568400011",,,"Route de Saclay","ECOLE POLYTECHNIQUE",,"91128","PALAISEAU",,"100",,,"Route de Saclay",,,"9128","PALAISEAU",,,,,1,0,,,,"2",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130401,463,0,0,0,0,1,0,0,0,0,"8",2018-08-31,,
"11","91","91521","2017","0915211700034","2","2",,"VILLE DE RIS MORANGIS",,,"PL","GENERAL E GAULLE",,,"91130","RIS MORANGIS",,"100",,"RUE","HENRI SELLIER",,,"91130","RIS ORANGIS",,"63AX",,,2,39395,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7237,399,0,0,0,0,0,0,1,0,0,"8",2018-08-31,"2018-01-08",
