Quarterly;;;;Year/Année 2000;;;;Year/Année 2001;;;;Year/Année 2002;;;;Year/Année 2003;;;;Year/Année 2004;;;;Year/Année 2005;;;;Year/Année 2006;;;;Year/Année 2007;;;;Year/Année 2008;;;;Year/Année 2009;;;;Year/Année 2010;;;;Year/Année 2011;;;;Year/Année 2012;;;;Year/Année 2013;;;;Year/Année 2014;;;;Year/Année 2015;;;;Year/Année 2016;;;;Year/Année 2017;;;;;;
;;;;Q1 2000;Q2 2000;Q3 2000;Q4 2000;Q1 2001;Q2 2001;Q3 2001;Q4 2001;Q1 2002;Q2 2002;Q3 2002;Q4 2002;Q1 2003;Q2 2003;Q3 2003;Q4 2003;Q1 2004;Q2 2004;Q3 2004;Q4 2004;Q1 2005;Q2 2005;Q3 2005;Q4 2005;Q1 2006;Q2 2006;Q3 2006;Q4 2006;Q1 2007;Q2 2007;Q3 2007;Q4 2007;Q1 2008;Q2 2008;Q3 2008;Q4 2008;Q1 2009;Q2 2009;Q3 2009;Q4 2009;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;;
;;;;T1 2000;T2 2000;T3 2000;T4 2000;T1 2001;T2 2001;T3 2001;T4 2001;T1 2002;T2 2002;T3 2002;T4 2002;T1 2003;T2 2003;T3 2003;T4 2003;T1 2004;T2 2004;T3 2004;T4 2004;T1 2005;T2 2005;T3 2005;T4 2005;T1 2006;T2 2006;T3 2006;T4 2006;T1 2007;T2 2007;T3 2007;T4 2007;T1 2008;T2 2008;T3 2008;T4 2008;T1 2009;T2 2009;T3 2009;T4 2009;T1 2010;T2 2010;T3 2010;T4 2010;T1 2011;T2 2011;T3 2011;T4 2011;T1 2012;T2 2012;T3 2012;T4 2012;T1 2013;T2 2013;T3 2013;T4 2013;T1 2014;T2 2014;T3 2014;T4 2014;T1 2015;T2 2015;T3 2015;T4 2015;T1 2016;T2 2016;T3 2016;T4 2016;T1 2017;T2 2017;T3 2017;T4 2017;T1 2018;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I. Indicators of networks - raw series;;I. Indicateurs Physiques - Séries brutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIXED SERVICES;;RESEAUX FIXES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of public payphones;Millions of units;Nombre de publiphones;Millions d'unités;0,232;0,240;0,238;0,230;0,228;0,226;0,222;0,215;0,213;0,210;0,206;0,202;0,198;0,198;0,195;0,192;0,196;0,189;0,192;0,189;0,188;0,185;0,183;0,180;0,176;0,174;0,172;0,170;0,167;0,164;0,162;0,160;0,158;0,155;0,154;0,152;0,151;0,147;0,147;0,143;0,142;0,140;0,139;0,137;0,135;0,134;0,132;0,129;0,126;0,123;0,120;0,117;0,113;0,108;0,102;0,094;0,087;0,080;0,074;0,069;0,063;0,057;0,053;0,046;0,039;0,031;0,024;0,017;0,012;0,007;0,004;0,003; -;p127;
Number Portability;Millions of units;Conservation du numéro fixe;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,724;0,688;0,781;0,736;0,680;0,596;0,590;0,608;0,711;0,558;0,598;0,639;0,737;0,543;0,548;0,686;0,661;0,575;0,640;0,745;0,729;0,615;0,625;0,633;0,620;0,528;0,582;0,573;0,633;0,602;0,616;0,710;0,600;0,540;0,604;0,660;0,670;p79;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of subscriptions to fixed telephony service;Millions of units;Abonnements aux services téléphoniques des lignes fixes;Millions d'unités;34,439;33,870;33,955;33,987;34,015;34,027;33,965;34,074;34,065;34,003;33,929;34,124;34,011;33,906;33,776;33,807;33,871;33,804;33,760;34,541;35,102;35,332;35,664;36,380;37,188;37,388;37,674;38,168;38,700;38,857;39,220;39,632;40,108;40,210;40,269;40,708;40,578;40,828;40,988;41,106;40,659;40,469;40,287;40,616;40,335;40,125;40,113;40,299;40,174;39,943;39,767;39,646;39,942;39,732;39,536;39,523;39,481;39,325;39,321;39,365;39,233;39,039;39,112;39,172;39,100;39,038;39,045;39,050;38,996;38,861;38,735;38,721;38,540;t56;
Subscriptions on narrow band access;Millions of units;Abonnements en bas débit RTC;Millions d'unités;;;;;;;;;34,001;33,943;33,870;34,066;33,953;33,849;33,718;33,747;33,811;33,742;33,696;33,541;33,502;33,314;33,151;32,967;32,821;32,359;31,935;31,349;30,611;29,937;29,229;28,518;27,853;27,308;26,765;26,309;25,684;25,191;24,715;24,098;23,180;22,633;22,063;21,610;20,872;20,323;19,807;19,512;18,900;18,377;17,898;17,374;16,885;16,472;15,990;15,562;15,181;14,796;14,434;14,036;13,611;13,298;12,999;12,678;12,336;12,067;11,791;11,487;11,129;10,852;10,632;10,365;9,874;t59;
of which access resales;Millions of units;dont abonnements issus de la VGAST;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;0,003;0,006;0,011;0,076;0,447;0,594;0,703;0,762;0,821;0,835;0,853;0,862;0,901;0,972;1,015;1,063;1,086;1,116;1,260;1,324;1,367;1,405;1,668;1,729;1,747;1,764;1,791;1,859;1,624;1,603;1,628;1,682;1,664;1,646;1,631;1,613;1,603;1,594;1,580;1,555;1,550;1,523;1,499;1,456;1,433;1,418;1,405;1,377;t60;
Subscriptions on broadband access;Millions of units;Abonnements à la voix sur large bande;Millions d'unités;;;;;;;;;;;;;;;;;;;;0,931;1,527;1,938;2,407;3,275;4,201;4,839;5,541;6,608;7,868;8,695;9,765;10,888;12,099;12,824;13,512;14,416;14,893;15,637;16,274;17,008;17,479;17,837;18,223;19,005;19,463;19,802;20,306;20,787;21,274;21,566;21,868;22,272;23,057;23,261;23,547;23,961;24,300;24,529;24,887;25,329;25,622;25,741;26,113;26,494;26,764;26,971;27,253;27,563;27,867;28,009;28,103;28,356;28,666;t61;
of which DSL lines without narrowband access;Millions of units;dont abonnements xDSL sans abonnement RTC;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;0,959;1,212;1,520;2,431;3,103;3,869;4,760;5,467;6,204;6,839;7,410;8,096;8,795;9,242;9,787;10,482;11,021;11,439;11,926;12,704;13,332;13,720;14,250;15,152;15,504;15,963;16,412;17,092;17,794;17,999;18,426;18,805;19,209;19,459;19,811;20,169;20,353;20,384;20,586;20,756;20,855;20,868;21,019;21,109;21,227;21,145;21,079;21,077;21,004;t63;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Low speed internet subscriptions (*);Millions of units;Nombre d'abonnements à Internet bas débit (*);Millions d'unités;4,105;4,281;4,590;5,263;5,668;5,826;5,898;6,385;6,991;7,056;7,425;7,469;7,490;7,338;7,215;7,048;6,660;6,300;5,811;5,407;5,015;4,398;4,095;3,809;3,403;3,096;2,935;2,557;2,270;1,892;1,699;1,508;1,337;1,204;1,105;0,983;0,820;0,677;0,733;0,652;0,598;0,556;0,513;0,483;0,399;0,361;0,343;0,312;0,283;0,267;0,249;0,225;0,202;0,186;0,165;0,155;0,141;0,131;0,122;0,112;;;;;;;;;;;;;;;
