Operateur;X;Y;2G;3G;4G
20820;96750;2403000;1;0;0
20801;96854;2361486;1;1;0
20820;96892;2400028;1;1;1
20810;96893;2400029;0;1;0
20820;97000;2399260;1;1;1
20815;97030;2399270;0;1;1
20810;97100;2399169;1;1;1
20801;97102;2399170;1;1;1
20820;97110;2401340;1;1;1
20810;97120;2400502;1;1;1
20801;97144;2401342;0;1;0
20810;97296;2402878;1;1;1
20801;97470;2401843;1;1;1
20810;97531;2402076;1;1;1
20801;97562;2400292;1;1;1
20820;97635;2402891;1;1;1
20815;97635;2402909;0;1;1
20801;97640;2402888;1;1;0
20820;98050;2399660;1;1;1
20801;98058;2398748;1;1;1
20810;98062;2398731;1;1;1
20815;98094;2398682;0;1;1
20801;98128;2399714;1;1;1
20815;98259;2399629;0;1;1
20810;98262;2399621;1;1;1
20810;98367;2405922;1;1;1
20801;98430;2405960;1;1;0
20801;98785;2402701;0;1;0
20801;98918;2333168;1;1;1
20820;99010;2394429;1;1;1
20810;99058;2400072;1;1;1
20801;99090;2400050;1;1;0
20815;99231;2394614;0;1;1
20810;99235;2394597;1;1;1
20820;99400;2354055;1;1;1
20801;99430;2335210;1;1;1
20801;99613;2414079;1;1;0
20820;99615;2414070;1;1;1
20820;99685;2333559;1;1;1
20810;99690;2333560;1;1;1
20801;99773;2410435;0;1;0
20801;100030;2399302;1;1;0
20801;100039;2401906;0;1;0
20801;100144;2333904;0;1;1
20820;100480;2400160;1;1;1
20801;100640;2400695;1;1;0
20801;100740;2403670;1;1;1
20810;100862;2403654;1;1;1
20820;100862;2403630;1;1;1
20815;100867;2403660;0;1;0
20820;100971;2410963;1;1;1
20810;100977;2410962;1;1;1
20801;100978;2410960;1;1;1
20801;101130;2399046;1;1;1
20801;101709;2350210;1;1;0
20801;101880;2403080;1;1;1
20815;102075;2363766;0;1;1
20810;102079;2363772;1;1;1
20820;102080;2363770;1;1;1
20820;102660;2400300;1;1;1
20801;102660;2400300;1;1;0
20801;102668;2354384;1;1;0
20810;102682;2400282;1;1;1
20810;102862;2401579;1;1;1
20820;102867;2401589;1;1;1
20815;102867;2401589;0;1;1
20820;102930;2334035;1;1;1
20810;102935;2334037;1;1;1
20801;103113;2364505;1;1;1
20801;103280;2396410;1;1;1
20801;103382;2363512;1;1;1
20815;103963;2379821;0;1;1
20810;103974;2379825;1;1;0
20820;103975;2379840;1;1;1
20801;103978;2379824;1;1;1
20820;104025;2364830;0;1;0
20810;104053;2397425;1;1;1
20801;104055;2397435;1;0;0
20820;104059;2397425;0;1;0
20820;104104;2364595;1;1;1
20801;104200;2365312;1;1;1
20810;104201;2365320;1;1;0
20801;104260;2364021;0;1;0
20815;104328;2350151;0;1;0
20810;104340;2350140;1;1;1
20810;104469;2395765;1;1;1
20820;104476;2395777;1;1;1
20815;104476;2395777;0;1;1
20820;104530;2413670;1;1;0
20820;104605;2331545;1;1;1
20801;104606;2331543;0;1;0
20810;104608;2331544;1;1;1
20820;104975;2345120;1;1;1
20810;104980;2345120;1;1;1
20815;104989;2345167;0;1;1
20810;105100;2336500;1;1;1
20820;105100;2336500;1;1;1
20801;105180;2405450;1;1;1
20801;105195;2332715;1;1;1
20810;105223;2337969;1;1;0
20801;105260;2335758;1;1;0
20815;105619;2332621;0;1;1
20820;105629;2332630;1;1;0
20810;105954;2414107;1;1;0
20801;106160;2363799;1;1;1
20810;106165;2363797;1;1;0
20820;106190;2363790;1;1;1
20801;106270;2427160;1;1;0
20820;106280;2427125;1;1;1
20810;106310;2427128;1;1;1
20810;106649;2342857;1;1;1
20820;106649;2342857;1;1;1
20815;106649;2342857;0;1;1
20801;106722;2344555;1;1;0
20810;106803;2352946;1;1;0
20820;107438;2406564;1;1;1
20810;107561;2403775;1;1;0
20820;107583;2402218;1;1;0
20820;108044;2418048;1;1;1
20801;108048;2418035;1;1;1
20810;108217;2417837;1;0;0
20815;108220;2397784;0;1;1
20810;108289;2397589;1;1;0
20801;108312;2396754;1;1;1
20801;108780;2418648;1;1;0
20810;108968;2332216;1;1;0
20801;108970;2332225;1;1;0
20810;109150;2358750;1;1;1
20801;109174;2353475;1;1;0
20801;109185;2416778;1;1;0
20801;109274;2390748;1;1;0
20815;109278;2390749;0;1;1
20820;109280;2390750;1;1;0
20820;109700;2357925;1;1;0
20810;109746;2340243;1;1;1
20801;109747;2340241;1;1;1
20820;109761;2340279;1;1;1
20801;109793;2338688;1;1;1
20820;109878;2338855;1;1;0
20820;110040;2413550;1;1;0
20810;110080;2413530;1;1;0
20815;110091;2413533;0;1;1
20801;110101;2413484;1;1;0
20820;110550;2395292;1;1;1
20820;110635;2356200;1;1;0
20815;110645;2356222;0;1;1
20810;111316;2404381;1;1;0
20820;111371;2335239;1;1;1
20810;111379;2335233;1;1;1
20810;111528;2421114;1;1;0
20815;111534;2421101;0;1;0
20801;111561;2401371;1;1;1
20810;111570;2357265;1;1;0
20801;111604;2332650;0;1;0
20801;112019;2403407;1;1;0
20820;112132;2405364;1;1;0
20801;112236;2405689;1;1;0
20810;112354;2404981;1;1;1
20815;112356;2404969;0;1;1
20801;112535;2368187;1;1;1
20820;112544;2368204;1;1;0
20815;112 544;2 368 204;0;1;1
20815;112621;2394374;0;1;1
20810;112637;2394349;1;1;0
20820;112650;2359050;1;1;0
20801;112660;2394392;1;1;1
20810;112784;2407616;1;1;0
20801;112784;2407625;1;1;0
20820;112786;2407631;1;1;1
20815;112786;2407631;0;1;0
20810;113092;2351871;1;1;1
20801;113092;2351900;1;1;0
