dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	TypeComptageTrafic	TMJA	RatioPL
2014-01-01	A0002	1122	3	80	C	533	3533	693370,6	6993152,82	0	4	62	C	655	4655	694311,12	6993756,09	0				
2014-01-01	A0002	382	4	62	C	655	4655	694311,12	6993756,09	0	5	80	C	37	5037	694644,11	6993988,07	0				
2014-01-01	A0002	18602	5	80	C	37	5037	694644,11	6993988,07	0	23	62	C	639	23639	709125,65	7005156,86	0				
2014-01-01	A0002	19042	23	62	C	639	23639	709125,65	7005156,86	0	42	59	C	681	42681	722957,28	7017335,1	0				
2014-01-01	A0002	5006	43	59	N	0	42681	722957,28	7017335,1	0	48	59	N	0	47687	725631,85	7021478,1	0	2014	Permanent horaire	44871	18,7
2014-01-01	A0002	4777	48	59	N	0	47687	725631,85	7021478,1	0	52	59	N	775	52464	729332,68	7024322,65	0	2014	Temporaire journalier	0	
2014-01-01	A0002	6258	52	59	N	775	52464	729332,68	7024322,65	0	59	59	N	25	58722	734683,7	7027134,79	0	2014	Temporaire journalier	0	
2014-01-01	A0002	557	59	59	N	25	58722	734683,7	7027134,79	0	59	59	N	582	59279	735229,93	7027021,57	0	2014	Permanent horaire	101221	10,2
2014-01-01	A0002	878	59	59	N	582	59279	735229,93	7027021,57	0	60	59	N	460	60157	736082,93	7026803,73	0	2014	Permanent horaire	101221	10,2
2014-01-01	A0002	513	60	59	N	460	60157	736082,93	7026803,73	0	60	59	N	973	60670	736589,81	7026721,79	0	2014	Permanent horaire	101221	10,2
2014-01-01	A0002	3061	60	59	N	973	60670	736589,81	7026721,79	0	64	59	N	30	63731	739551,72	7026628,72	0	2014	Temporaire journalier	0	
2014-01-01	A0002	14451	64	59	N	30	63731	739551,72	7026628,72	0	78	59	N	456	78182	747584,18	7038121,26	0	2014	Permanent horaire	0	
2014-01-01	A0003	2257	0	93	N	0	0	656905,32	6862885,42	0	2	93	N	200	2257	658790,07	6863942,66	0	2014	Permanent horaire	160048	
2014-01-01	A0003	400	2	93	N	200	2257	658790,07	6863942,66	0	2	93	N	600	2657	659114,41	6864178,5	0	2014	Permanent horaire	164783	
2014-01-01	A0003	2026	2	93	N	600	2657	659114,41	6864178,5	0	5	93	N	0	4683	660895,34	6864995,05	0	2014	Permanent horaire	164783	
2014-01-01	A0003	200	5	93	N	0	4683	660895,34	6864995,05	0	5	93	N	200	4883	661092,64	6865018,94	0	2014	Permanent horaire	164783	
2014-01-01	A0003	1220	5	93	N	200	4883	661092,64	6865018,94	0	6	93	N	480	6103	661319,11	6866075,76	0	2014	Permanent horaire	118500	
2014-01-01	A0003	1630	6	93	N	480	6103	661319,11	6866075,76	0	8	93	N	100	7733	661360,23	6867616,75	0	2014	Permanent horaire	118500	
2014-01-01	A0003	2800	8	93	N	100	7733	661360,23	6867616,75	0	11	93	N	0	10533	661985,77	6870284,85	0	2014	Permanent horaire	83934	
2014-01-01	A0003	2240	11	93	N	0	10533	661985,77	6870284,85	0	13	93	N	0	12773	661515,56	6872453,47	0	2014	Permanent horaire	146400	
2014-01-01	A0003	970	13	93	N	0	12773	661515,56	6872453,47	0	13	93	N	970	13743	661440,9	6873410,96	0	2014	Permanent horaire	154900	
2014-01-01	A0003	1082	13	93	N	970	13743	661440,9	6873410,96	0	15	93	N	0	14825	661891,48	6874348,86	0	2014	Permanent horaire	154900	
2014-01-01	A0003	225	15	93	N	0	14825	661891,48	6874348,86	0	15	93	N	225	15050	662053,66	6874504,93	0	2014	Permanent horaire	154900	
2014-01-01	A0003	9	15	93	N	225	15050	662053,66	6874504,93	0	15	93	N	234	15059	662060,05	6874511,28	0				
2014-01-01	A0003	685	0	95	N	0	15059	662060,05	6874511,28	0	0	95	N	685	15744	662545,51	6874995,44	0				
2014-01-01	A0003	1000	16	95	N	0	15744	662545,51	6874995,44	0	17	95	N	0	16744	663260,75	6875697,7	0	2014	Permanent horaire	136100	
2014-01-01	A0003	1615	17	95	N	0	16744	663260,75	6875697,7	0	18	95	N	615	18359	664307,23	6876895,05	0				
2014-01-01	A0004	700	0	94	N	0	0	655327,41	6858648,39	0	0	94	N	700	700	655799,68	6858131,28	0	2014	Permanent horaire	205500	
2014-01-01	A0004	32,2	0	94	N	700	700	655799,68	6858131,28	0	0	94	N	732,2	732,2	655826,16	6858112,58	0	2014	Permanent horaire	225300	
2014-01-01	A0004	1535,8	0	94	N	732,2	732,2	655826,16	6858112,58	0	2	94	N	250	2268	657278,29	6857640,26	0	2014	Permanent horaire	225300	
2014-01-01	A0004	718	2	94	N	250	2268	657278,29	6857640,26	0	2	94	N	968	2986	658000,74	6857607,6	0	2014	Permanent horaire	228200	
2014-01-01	A0004	696	2	94	N	968	2986	658000,74	6857607,6	0	3	94	N	660	3682	658703,16	6857628,16	0	2014	Permanent horaire	228200	
2014-01-01	A0004	48	3	94	N	660	3682	658703,16	6857628,16	0	3	94	N	708	3730	658751,6	6857626,94	0	2014	Permanent horaire	215775	8,1
2014-01-01	A0004	1580,1	3	94	N	708	3730	658751,6	6857626,94	0	5	94	N	267,1	5310,1	660237,15	6857817,23	0	2014	Permanent horaire	215775	8,1
2014-01-01	A0004	742,8	5	94	N	267,1	5310,1	660237,15	6857817,23	0	6	94	N	4,9	6052,9	660617,37	6858422,92	0	2014	Permanent horaire	215775	8,1
2014-01-01	A0004	95,1	6	94	N	4,9	6052,9	660617,37	6858422,92	0	6	94	N	100	6148	660669,66	6858502,7	0	2014	Permanent horaire	215775	8,1
2014-01-01	A0004	496	6	94	N	100	6148	660669,66	6858502,7	0	6	94	N	596	6644	661107,15	6858733,28	0	2014	Permanent horaire	148936	
2014-01-01	A0004	1657	6	94	N	596	6644	661107,15	6858733,28	0	8	94	N	250	8301	662749,9	6859032,05	0	2014	Permanent horaire	148936	
2014-01-01	A0004	908,4	8	94	N	250	8301	662749,9	6859032,05	0	9	94	N	159,4	9209,4	663618,3	6858759,36	0	2014	Permanent horaire	178718	
2014-01-01	A0004	290,6	9	94	N	159,4	9209,4	663618,3	6858759,36	0	9	94	N	450	9500	663901,64	6858687,39	0	2014	Permanent horaire	178718	
2014-01-01	A0004	3045	9	94	N	450	9500	663901,64	6858687,39	0	12	94	N	464	12545	666576,56	6859714,91	0	2014	Permanent horaire	152200	
2014-01-01	A0004	236	12	94	N	464	12545	666576,56	6859714,91	0	12	94	N	700	12781	666813,7	6859697,02	0	2014	Permanent horaire	152200	
2014-01-01	A0004	2900	12	94	N	700	12781	666813,7	6859697,02	0	15	93	C	600	15681	669668,52	6859438,86	0				
2014-01-01	A0004	52175	15	93	C	600	15681	669668,52	6859438,86	0	67	77	C	775	67856	712935,31	6881400,97	0				
2014-01-01	A0004	32770	67	77	C	775	67856	712935,31	6881400,97	0	100	2	C	545	100626	742808,3	6892226,73	0				
2014-01-01	A0004	8555	100	2	C	545	100626	742808,3	6892226,73	0	109	51	C	100	109181	750798,74	6894780,16	0				
2014-01-01	A0004	5015	109	51	C	100	109181	750798,74	6894780,16	0	114	2	C	115	114196	754533,15	6897821,37	0				
2014-01-01	A0004	107781	114	2	C	115	114196	754533,15	6897821,37	0	221	51	C	896	221977	845904,96	6889832,49	0				
2014-01-01	A0004	58942	221	51	C	896	221977	845904,96	6889832,49	0	280	55	C	838	280919	900304,27	6899498,07	0				
2014-01-01	A0004	18336	280	55	C	838	280919	900304,27	6899498,07	0	299	54	C	174	299255	917316,77	6903909,26	0				
2014-01-01	A0004	93922	299	54	C	174	299255	917316,77	6903909,26	0	393	57	C	96	393177	996842,41	6889455,24	0				
2014-01-01	A0004	24710	393	57	C	96	393177	996842,41	6889455,24	0	417	67	C	806	417887	1003853	6867371,39	0				
2014-01-01	A0004	15122	417	67	C	806	417887	1003853	6867371,39	0	432	57	C	928	433009	1016315,3	6860893,05	0				
2014-01-01	A0004	41772	432	57	C	928	433009	1016315,3	6860893,05	0	474	67	C	700	474781	1048610,95	6849594,05	0				
2014-01-01	A0004	226	0	67	N	0	474781	1048610,95	6849594,05	0	0	67	N	226	475007	1048569,31	6849374,82	0	2014	Permanent horaire	105594	11,9
2014-01-01	A0004	636	0	67	N	226	475007	1048569,31	6849374,82	0	1	67	N	506	475643	1048447,79	6848758,26	0	2014	Permanent horaire	105594	11,9
2014-01-01	A0004	146,7	1	67	N	506	475643	1048447,79	6848758,26	0	1	67	N	652,7	475789,7	1048416,47	6848616,7	0	2014	Permanent horaire	105594	11,9
2014-01-01	A0004	1355,3	1	67	N	652,7	475789,7	1048416,47	6848616,7	0	3	67	N	0	477145	1047895,66	6847392,25	0	2014	Permanent horaire	105594	11,9
2014-01-01	A0004	1207	3	67	N	0	477145	1047895,66	6847392,25	0	4	67	N	200	478352	1048123,04	6846217,79	0	2014	Permanent horaire	100207	11,5
2014-01-01	A0004	318	4	67	N	200	478352	1048123,04	6846217,79	0	4	67	N	518	478670	1048154,48	6845903,58	0	2014	Permanent horaire	96036	11,7
2014-01-01	A0004	245	4	67	N	518	478670	1048154,48	6845903,58	0	4	67	N	763	478915	1048173,52	6845660,94	0	2014	Permanent horaire	96036	11,7
2014-01-01	A0004	250	4	67	N	763	478915	1048173,52	6845660,94	0	5	67	N	0	479165	1048193,09	6845413,36	0	2014	Permanent horaire	96036	11,7
2014-01-01	A0004	208,8	5	67	N	0	479165	1048193,09	6845413,36	0	5	67	N	208,8	479373,8	1048212,55	6845204	0	2014	Permanent horaire	0	
2014-01-01	A0004	403,2	5	67	N	208,8	479373,8	1048212,55	6845204	0	5	67	N	612	479777	1048264,15	6844801,25	0	2014	Permanent horaire	0	
2014-01-01	A0004	397	5	67	N	612	479777	1048264,15	6844801,25	0	6	67	N	0	480174	1048338,68	6844409,48	0	2014	Permanent horaire	0	
2014-01-01	A0004	881	6	67	N	0	480174	1048338,68	6844409,48	0	6	67	N	881	481055	1048920,06	6843837,87	0	2014	Permanent horaire	121661	10,1
2014-01-01	A0004	131	6	67	N	881	481055	1048920,06	6843837,87	0	6	67	N	1012	481186	1049024,84	6843772,13	0	2014	Permanent horaire	121661	10,1
2014-01-01	A0005	310	0	77	C	0	0	673133,23	6832763,43	0	0	77	C	310	310	673432,42	6832681,93	0	2014	Permanent horaire	20203	10,5
2014-01-01	A0005	6422	0	77	C	310	310	673432,42	6832681,93	0	6	77	C	732	6732	679699,01	6831771,21	0	2014	Permanent horaire	20203	10,5
2014-01-01	A0005	7259	6	77	C	732	6732	679699,01	6831771,21	0	13	77	C	991	13991	684793,46	6826675,34	0	2014	Permanent horaire	21501	10,5
