ANNEE;CODE_INSEE;COMMUNE;NB_LOGEMENTS_LOCATIFS_SOCIAUX;NB_RESIDENCES_PRINCIPALES;POURCENTAGE_LOGEMENTS_LOCATIFS_SOCIAUX
2016;92020;CHATILLON;3902;15848;24.62
2016;92025;COLOMBES;11685;35123;33.27
2016;92032;FONTENAY AUX ROSES;4460;10189;43.77
2016;92033;GARCHES;1832;8005;22.89
2016;92044;LEVALLOIS PERRET;5967;30424;19.61
2016;92076;VAUCRESSON;280;3632;7.71
2015;92009;BOIS COLOMBES;2301;12658;18.18
2015;92019;CHATENAY MALABRY;6651;13628;48.8
2015;92033;GARCHES;1832;8048;22.76
2016;92047;MARNES LA COQUETTE;82;641;12.79
2016;92048;MEUDON;5324;19986;26.64
2016;92071;SCEAUX;1923;8579;22.42
2016;92073;SURESNES;7551;21147;35.71
