"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"32","80","80021","2018","08002118A0153","9","2","SCI",,"83026753000012","27",,"rue du Colonel Tempez",,,"80000","AMIENS",,"100","27",,"rue du Colonel Tempez",,,"80000","AMIENS",,"237HL",,,1,145,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,,
"32","80","80021","2018","08002118A0158","9","2",,"ANPAA","77566008703082","29",,"rue Lamarck",,,"80000","AMIENS",,"100","29",,"rue Lamarck",,,"80000","AMIENS",,"151AM",,,1,0,,,,"2",,1,0,0,0,0,0,0,0,0,378,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"32","80","80021","2018","08002118A0161","9","2",,"AMIENS METROPOLE",,,,"place de l'Hotel de Ville",,,"80027","AMIENS",,"100",,,"rue saint Fuscien",,,"80000","AMIENS",,"73LS",,,1,6719,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,270,0,37,0,0,0,0,0,0,0,"13",2018-09-30,,
"32","80","80021","2018","08002118A0162","9","2",,"AMIENS METROPOLE","24800053100173",,,"place de l'Hotel de ville",,,"80000","AMIENS",,"100",,,"chemin de vauvoix",,,"80000","AMIENS",,"394BS",,,1,20328,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"32","80","80092","2018","08009218M0021","9","2",,"MAIRIE DE BERTANGLES","21800087500045","2",,"rue des Pensees",,,"80260","BERTANGLES",,"100",,,"rue de Saint Sauveur",,,"80260","BERTANGLES",,"114AB",,,1,19934,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,4,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"32","80","80179","2018","08017918M0003","9","2","GAEC DES NORMANDES",,"40065099000015","1","Ruell","des Fontaines",,,"80290","Caulieres",,"100","1","Ruell","des Fontaines",,,"80290","Caulieres",,"0010AC","0011AC","0014AC",2,40804,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5699,832,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-09-30,"2018-08-28",
"32","80","80211","2018","08021118P0009","9","2",,"SCI QUODCUMQUE",,"310",,"rue de la gare",,,"80160","CONTY",,"100","31",,"RUE DU GEN DEBENEY",,,"80160","CONTY",,"633AK","634AK","636AK",1,668,,,,,,1,0,0,0,0,0,0,0,0,0,53,141,0,0,264,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,,
"32","80","80211","2018","08021118P0010","9","2",,"Conseil Departemental de la Somme","22800001400016","43",,"rue de la Republique",,,"80026","Amiens","1","100",,,"route de Belleuse",,,"80160","CONTY",,"37ZK","38ZK","39ZK",1,2761,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,94,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"32","80","80308","2018","08030818V0007","9","2",,"SA DEBFLEX","61578014500020",,,"Avenue du Moulin","ZI le moulin",,"80210","FEUQUIERES-EN-VIMEU",,"100",,,"Avenue du Moulin","ZI le MOULIN",,"80210","FEUQUIERES-EN-VIMEU",,"4460Z","5370Z","5410Z",2,45016,,,,,"2",1,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6750,0,0,0,0,0,0,0,8350,2999,0,0,6750,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,"2018-09-12",
"32","80","80376","2018","0803761800003","1","2",,"SNC LA FERME DES TILLEULS","79261492700012","11",,"de Thezy",,,"80800","Gentelles",,"100","11",,"de Thezy",,,"80800","Gentelles",,"0036ZO",,,2,85902,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-07",
