"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"44","54","54044","2018","05404418L0001","9","2","Energie du Bassigny","SARL Energie du Bassigny","83749175200015",,,"Route d'ANCERVILLER",,,"54450","BARBAS",,"100",,,"AU CHAUFOUR",,,"54450","BARBAS",,"5040C",,,1,19568,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"44","54","54045","2018","05404518L0001","8","2",,"COMMUNE DE BARBONVILLE",,,,"12 Grande Rue",,,"54360","BARBONVILLE",,"100",,,"18 GRANDE RUE",,,"54360","BARBONVILLE",,"0700E",,,2,497,,,,"3","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,104,0,0,0,0,0,0,"14",2018-06-30,"2018-06-12",
"44","54","54047","2018","05404718T0002","9","2",,"GAEC DE LA PLAINE","33916565600028",,,"Les Ensanges",,,"54170","BARISEY LA COTE",,"100",,,"AUX ENSANGES",,,"54170","BARISEY-LA-COTE",,"65ZI",,,1,39174,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"44","54","54050","2018","05405018L0002","9","2","EARL DE GRANDVAL",,"40195401100011",,,"Ferme de la Fourasse",,,"54370","Bures",,"100",,,,"La Fourasse",,"54370","Bathelemont",,"25ZD",,,1,33532,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"44","54","54054","2017","05405417L0005","9","2","CONSEIL DEPARTEMENTAL 54",,"22540001900785","48","ESPL","Jacques Baudot",,,"54000","Nancy",,"100","24","RUE","des Ecoles",,,"54290","Bayon",,"353AI","189AI","188AI",3,10210,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951,924,0,765,0,0,1,0,0,0,0,"13",2018-06-30,"2017-07-10","2018-07-02"
"44","54","54077","2018","05407718L0001","9","2","SCI","SATORI","83783363100018",,,"15  rue Victor Pierre",,,"54450","BLAMONT",,"100",,,"13 RUE VICTOR PIERRE",,,"54450","BLAMONT",,"240AH",,,1,507,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"44","54","54079","2018","05407918N0001","1","2","SCI","SCI SAINT MARTIN",,,,"8 rue Saint Martin",,,"54700","BLENOD LES PONT A MOUSSON",,"100",,,"rue Saint Martin",,,"54700","BLENOD-LES-PONT-A-MOUSSON",,"0758AD","0759AD",,2,1437,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-05-18",
"44","54","54101","2018","05410118L0001","9","2","GAEC DU CRISTAL",,"40748540800014","14","RUE","Grammont",,,"54120","Merviller",,"100",,,"Haut de Veney",,,"54120","Brouville",,"469F",,,2,15673,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-06-14",
"44","54","54110","2018","05411018N0002","9","2",,"EARL de la Perche",,"1","rue","de Velaine",,,"54420","CERVILLE",,"100",,,,"Haute de Chenevé",,"54420","CERVILLE",,"198Y","32Y","25Y",2,0,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-06-28",
"44","54","54137","2018","05413718B0001","1","2",,"SCI LEONART","79466779000016","32",,"rue de Longwy",,,"54870","CONS-LA-GRANDVILLE",,"100","32",,"rue de Longwy",,,"54870","CONS-LA-GRANDVILLE",,"0885B","0930B",,2,236,,,,,"2",1,0,0,0,0,0,0,0,0,81,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-06-18",
