name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.5199782412902427,0.2
2_DecisionTree,Decision Tree,rmse,0.45481162013894316,10.11
3_Linear,Linear,rmse,0.4240761877016086,7.83
4_Default_Xgboost,Xgboost,rmse,0.28695044647535695,8.5
5_Default_NeuralNetwork,Neural Network,rmse,0.38351315220294757,3.28
6_Default_RandomForest,Random Forest,rmse,0.4004687238720798,22.63
4_Default_Xgboost_categorical_mix,Xgboost,rmse,0.2813268622249305,9.91
Ensemble,Ensemble,rmse,0.28016109590955685,0.16
